Name,City,State,Size_MW,Score_Default,Classification,Score_Best_Case,Score_Worst_Case,Score_Range,Missing_Inputs,PUE_Low_Score,PUE_High_Score,Growth_Low_Score,Growth_High_Score,OPEX_Low_Score,OPEX_High_Score,Data_Collection_Priority
C Spire Starkville,Starkville,MS,1.5,37.97,Moderate,45.01,27.0,18.01,baseline_pue; load_growth_rate; energy_pct_opex,34.48,40.46,33.94,42.01,34.37,38.37,HIGH
Digital Realty IAD39,Ashburn,VA,24.0,54.71,Good,63.13,45.2,17.93,baseline_pue; load_growth_rate; energy_pct_opex,51.14,57.05,50.69,58.72,52.71,56.71,HIGH
Microsoft Sandviken,Sandviken,,40.0,56.1,Good,66.2,48.29,17.91,baseline_pue; load_growth_rate; energy_pct_opex,52.6,58.49,52.08,60.12,55.7,59.7,HIGH
Equinix CL3,Calgary,Alberta,17.0,48.07,Moderate,56.28,38.38,17.9,baseline_pue; load_growth_rate; energy_pct_opex,44.39,50.27,44.06,52.05,46.07,50.07,HIGH
CL3,Calgary,Alberta,17.0,48.07,Moderate,56.28,38.38,17.9,baseline_pue; load_growth_rate; energy_pct_opex,44.39,50.27,44.06,52.05,46.07,50.07,HIGH
PDX-11,Hillsboro,OR,54.0,58.6,Good,67.11,49.24,17.87,baseline_pue; load_growth_rate; energy_pct_opex,55.13,61.0,54.58,62.62,56.6,60.6,HIGH
MCR2,Manchester,North West,4.0,77.24,Excellent,81.91,64.09,17.82,baseline_pue; load_growth_rate; energy_pct_opex,72.81,77.97,73.66,80.8,73.64,77.64,HIGH
Oliver's Tard (LHR18),London,,4.0,75.64,Excellent,81.91,64.09,17.82,baseline_pue; load_growth_rate; energy_pct_opex,71.21,76.37,72.06,79.2,73.64,77.64,HIGH
LHR18,London,London,4.0,75.64,Excellent,81.91,64.09,17.82,baseline_pue; load_growth_rate; energy_pct_opex,71.21,76.37,72.06,79.2,73.64,77.64,HIGH
DigiPlex Fetsund,Fetsund,Oslo,20.0,52.06,Good,60.36,42.54,17.82,baseline_pue; load_growth_rate; energy_pct_opex,48.49,54.32,48.06,56.05,50.06,54.06,HIGH
CyrusOne Mesa,Mesa,AZ,198.0,60.25,Good,68.77,50.99,17.78,baseline_pue; load_growth_rate; energy_pct_opex,56.86,62.65,56.24,64.26,58.25,62.25,HIGH
